sport_id,season,group,n_teams,atBats,baseOnBalls,battersFaced,caughtStealing,doubles,earnedRuns,gamesPlayed,gamesStarted,hitBatsmen,hitByPitch,hits,homeRuns,inningsPitched,intentionalWalks,plateAppearances,runs,sacFlies,stolenBases,strikeOuts,triples
16,2021,hitting,50,83595,12141,,1602,4253,,2803,,,2447,20949,1604,,98,99288,15046,881,4152,,831
16,2021,pitching,50,,11366,97446,,,9937,2840,2840,2431,,,1214,22175.7,,,12722,,,23954,
16,2022,hitting,50,85955,12103,,1619,4174,,2824,,,2473,21785,1465,,84,101674,15160,912,4197,,902
16,2022,pitching,50,,11149,100274,,,10151,2840,2840,2435,,,1300,22823.7,,,12933,,,24927,
16,2023,hitting,50,85079,13620,,1551,4385,,2709,,,2609,22180,1557,,72,102492,16535,985,4610,,910
16,2023,pitching,50,,12529,98143,,,10885,2693,2693,2459,,,1246,21953.3,,,13471,,,22919,
16,2024,hitting,50,85718,13952,,1642,4138,,2829,,,2680,21959,1345,,74,103716,16071,1043,5253,,913
16,2024,pitching,50,,12726,98971,,,10709,2778,2778,2577,,,1092,22187.7,,,13335,,,23120,
16,2025,hitting,50,85938,14234,,1677,4181,,2843,,,2864,22176,1329,,65,104433,16536,1070,5181,,939
16,2025,pitching,50,,12875,101148,,,11093,2833,2833,2602,,,1207,22743.0,,,13669,,,22805,
16,2026,hitting,50,73024,14135,,1380,3812,,2452,,,2513,19582,1702,,42,90977,16292,948,5238,,787
16,2026,pitching,50,,12659,86579,,,11242,2439,2439,2099,,,1474,18750.0,,,13515,,,19179,
1,2015,hitting,30,165488,14073,,1064,8242,,4858,,,1602,42106,4909,,951,183628,20647,1232,2505,,939
1,2015,pitching,30,,14073,183628,,,19075,4858,4858,1602,,,4909,43407.7,,,20647,,,37446,
1,2016,hitting,30,165561,15088,,1001,8254,,4856,,,1651,42276,5610,,932,184580,21744,1214,2537,,873
1,2016,pitching,30,,15088,184580,,,20124,4856,4856,1651,,,5610,43306.3,,,21744,,,38982,
1,2017,hitting,30,165567,15829,,934,8397,,4860,,,1763,42215,6105,,970,185295,22582,1168,2527,,795
1,2017,pitching,30,,15829,185295,,,20911,4860,4860,1763,,,6105,43257.0,,,22582,,,40104,
1,2018,hitting,30,165432,15686,,958,8264,,4862,,,1922,41018,5585,,929,185139,21630,1235,2474,,847
1,2018,pitching,30,,15686,185139,,,20025,4862,4862,1922,,,5585,43489.0,,,21630,,,41207,
1,2019,hitting,30,166651,15895,,832,8531,,4858,,,1984,42039,6776,,753,186517,23467,1150,2280,,785
1,2019,pitching,30,,15895,186517,,,21684,4858,4858,1984,,,6776,43423.3,,,23467,,,42823,
1,2020,hitting,30,59030,6092,,292,2823,,1796,,,821,14439,2304,,202,66506,8344,402,885,,241
1,2020,pitching,30,,6092,66506,,,7638,1796,1796,821,,,2304,15468.7,,,8344,,,15586,
1,2021,hitting,30,161941,15794,,711,7863,,4858,,,2112,39484,5944,,703,181818,22010,1143,2213,,671
1,2021,pitching,30,,15794,181818,,,20162,4858,4858,2112,,,5944,42615.0,,,22010,,,42145,
1,2022,hitting,30,163465,14853,,811,7940,,4860,,,2046,39674,5215,,475,182052,20817,1224,2486,,643
1,2022,pitching,30,,14853,182052,,,18963,4860,4860,2046,,,5215,43075.3,,,20817,,,40812,
1,2023,hitting,30,164418,15819,,866,8228,,4860,,,2112,40839,5868,,474,184104,22432,1230,3503,,712
1,2023,pitching,30,,15819,184104,,,20710,4860,4860,2112,,,5868,43087.3,,,22432,,,41843,
1,2024,hitting,30,163687,14929,,961,7771,,4858,,,2020,39823,5453,,509,182449,21343,1261,3617,,697
1,2024,pitching,30,,14929,182449,,,19508,4858,4858,2020,,,5453,43116.3,,,21343,,,41197,
1,2025,hitting,30,163664,15379,,989,7745,,4860,,,1928,40138,5650,,556,182926,21614,1307,3440,,628
1,2025,pitching,30,,15379,182926,,,19869,4860,4860,1928,,,5650,43075.0,,,21614,,,40645,
1,2026,hitting,30,111217,11139,,680,5177,,3312,,,1436,27110,3825,,352,125199,14874,893,2259,,450
1,2026,pitching,30,,11139,125199,,,13626,3312,3312,1436,,,3825,29334.0,,,14872,,,27723,
